Berufsbenennungen;KldB 2010 (5-Steller)
Diätassistent/in - Küchenbereich;81762
Ernährungsmedizinische/r Berater/in;81763
Ernährungstherapeut/in;81763
Verpflegungsmanager/in (Diätküchenleiter/in);81764
Fußpfleger/in (medizinisch) (staatl.gepr.);81772
Medizinische/r Fußpfleger/in;81772
Medizinisch-orthopädische/r Fußpfleger/in;81772
Podologe/Podologin;81772
Diabetesassistent/in;81782
Fachkraft - alternat. Therapiefor. (n. Arzt od. Heilprakt.);81782
Vitametiker/in;81782
Bewegungsberater/in;81783
Bewegungspädagoge/-pädagogin;81783
Bewegungstherapeut/in;81783
Diabetesberater/in;81783
Eutonietherapeut/in;81783
Eutonist/in;81783
Gesundheits- und Ernährungsberater/in - Diabetes;81783
Gymnastik- und Tanzpädagoge/-pädagogin - Bewegungstherapie;81783
Heileurythmist/in;81783
Lehrer/in - Bothmergymnastik;81783
Motopädagoge/-pädagogin;81783
Sporttherapeut/in;81783
Tanz- und Ausdruckstherapeut/in;81783
Tanz- und Bewegungstherapeut/in;81783
Tanztherapeut/in;81783
Diabetes- und Gesundheitswissenschaftler/in;81784
Leitende/r Physiotherapeut/in;81794
Apotheker/in;81804
Apotheker/in (ohne Fachapothekerweiterbildung);81804
Apotheker/in (Uni);81804
Arzneientwickler/in;81804
Fachapotheker/in;81804
Fachapotheker/in - Arzneimittelinformation;81804
Fachapotheker/in - Klinische Chemie;81804
Fachapotheker/in - Klinische Pharmazie;81804
Fachapotheker/in - Öffentliches Gesundheitswesen;81804
Fachapotheker/in - Offizin-Pharmazie;81804
Fachapotheker/in - Pharmazeutische Analytik;81804
Fachapotheker/in - Pharmazeutische Technologie;81804
Fachapotheker/in - Toxikologie und Ökologie;81804
Krankenhausapotheker/in;81804
Pharmazeut/in;81804
Arzt/Ärztin - Pharmakologie und Toxikologie;81814
Assistenzarzt/-ärztin (Uni) - Klinische Pharmakologie;81814
Assistenzarzt/-ärztin (Uni) - Pharmakologie und Toxikologie;81814
Facharzt/-ärztin - Klinische Pharmakologie;81814
Facharzt/-ärztin - Pharmakologie und Toxikologie;81814
Pharmakologe/Pharmakologin;81814
Apothekenlaborant/in;81822
Apothekenschwester/-pfleger;81822
Apothekerassistent/in;81822
Laborant/in - Apotheke;81822
Laborant/in - pharmazeutisches Labor;81822
Laborassistent/in - Pharmalabor;81822
Pharmakologie-Assistent/in;81822
Pharmalaborant/in;81822
Pharmazeutische/r Assistent/in (FS);81822
Pharmazeutisch-techn. Assistent/in - Krankenhausapotheken;81822
Pharmazeutisch-techn. Assistent/in - öffentlichen Apotheken;81822
Pharmazeutisch-technische/r Assistent/in;81822
Pharmazie-Ingenieur/in (FS);81822
Arzneimittelvertreter/in;81883
Klinikreferent/in;81883
Pharmaberater/in;81883
Pharmareferent/in;81883
Pharmazeutische/r Berater/in;81883
Dipl.-Pharmazeut/in (Uni) - Experim. Pharmakolog./Toxikolog.;81884
Klinische/r Monitor/in (CRA);81884
Medical Advisor;81884
Medical Manager/in;81884
Monitor/in (Klinische/r Monitor/in);81884
Pharmaanalytiker/in;81884
Referent/in - klinische Forschung;81884
Referent/in - klinische Studien (CRA);81884
Regulatory-Affairs-Manager/in;81884
Stufenplanbeauftragter/Stufenplanbeauftragte;81884
Apothekenleiter/in;81894
Apothekenverwalter/in;81894
Director Regulatory Affairs (Pharma/Life Science);81894
Altenbetreuerhelfer/in;82101
Altenpflegeassistent/in;82101
Altenpflegehelfer/in;82101
Altenpflegehelfer/in - ambulanten Altenhilfe;82101
Altenpflegehilfskraft;82101
Helfer/in - Altenpflege/Persönliche Assistenz;82101
Helfer/in - Pflege;82101
Pflegeassistent/in (Altenpflege);82101
Pflegehelfer/in - Altenpflege;82101
Stationshelfer/in - Altenpflege;82101
Altenbetreuer/in;82102
Altenpfleger/in;82102
Betagtenbetreuer/in;82102
Fachkraft - Altenpflege;82102
Pflegefachmann/-frau (Altenpflege);82102
Seniorenbetreuer/in;82102
Fachaltenpfleger/in;82103
Altenpfleger/in - gerontopsychiatrischen Abteilung;82182
Ambulante/r Pfleger/in;82182
Altenpfleger/in - Onkologie;82183
Altenpfleger/in - Rehabilitation;82183
Fachaltenpfleger/in - Geriatriepflege;82183
Fachaltenpfleger/in - Gerontopsychiatrie;82183
Fachaltenpfleger/in - klinische Geriatrie/Rehabilitation;82183
Fachaltenpfleger/in - Onkologie;82183
Fachaltenpfleger/in - Palliativ- und Hospizpflege;82183
Fachaltenpfleger/in - Psychiatrie;82183
Fachaltenpfleger/in - Rehabilitation;82183
Fachaltenpfleger/in - Rehabilitation und Langzeitpflege;82183
Fachaltenpfleger/in - Rehabilitation/Geriatrie;82183
Fachkraft - geriatrische Rehabilitation;82183
Fachkraft - Gerontopsychiatrie;82183
Fachkraft - Gerontopsychiatrie und psychosoziale Betreuung;82183
Fachkraft - soziale Arbeit in der Altenpflege;82183
Gerontopsychiatrische Fachkraft;82183
Altenheimleiter/in;82194
Altentagesstättenleiter/in;82194
Altenzentrumsleiter/in;82194
Einrichtungsleiter/in - Altenheim;82194
Geschäftsführende/r Leiter/in (Altenheim);82194
Hausleiter/in (Altenheim);82194
Leiter/in - Altenpflegeeinrichtung;82194
Pflegeheimleiter/in;82194
Seniorenheimleiter/in;82194
Seniorentagesstättenleiter/in;82194
Seniorenzentrumsleiter/in;82194
Gesundheitscoach;82212
Gesundheitstrainer/in;82212
Assistent/in - Gesundheitsdienst;82213
Assistent/in - Sozialmedizin;82213
Dipl.-Gesundheitsmanager/in (BA);82213
Fachwirt/in - Prävention und Gesundheitsförderung;82213
Familiengesundheitsschwester/Familiengesundheitspfleger;82213
Gesundheits- und Sozialökonom/in;82213
Gesundheitsberater/in;82213
Gesundheitserzieher/in;82213
Gesundheitsförderer/-förderin;82213
Gesundheitspädagog(e/in);82213
Krankenhausfürsorger/in;82213
Pflegeberater/in;82213
Präventionsfachkraft;82213
Präventionsreferent/in;82213
Säuglings- u. Kleinkinderfürsorger/in;82213
Sozialmedizinische/r Assistent/in;82213
Dipl.-Betriebswirt/in (FH) - Gesundheitsmanagement;82214
Dipl.-Gesundheitsökonom/in;82214
Dipl.-Gesundheitswirt/in (FH);82214
European Master of Health and Fitness;82214
Gesundheitsförderer/-förderin, -pädagoge/-pädagogin;82214
Gesundheitsmanager/in;82214
Gesundheitsökonom/in;82214
Gesundheitswirt/in;82214
Gesundheitswissenschaftler/in;82214
Gesundheitswissenschaftler/in - Öffentliches Gesundheitsw.;82214
Leiter/in - Medizincontrolling;82214
Magister/Magistra public health;82214
Magister/Magistra sanitatis publicae;82214
Medizinökonom/in;82214
Seuchenbeauftragte/r;82214
Assistent/in - Gesundheitstourismus/-prophylaxe;82222
Beauty- und Wellness-Fachkraft;82222
Entspannungstrainer/in;82222
Fachkraft - Beauty und Wellness;82222
Saunahelfer/in;82222
Saunameister/in;82222
Vitalassistent/in;82222
Wellnesstrainer/in;82222
Fachwirt/in - Kosmetik und Wellness;82223
Referent/in für Gesundheitstourismus;82223
Spa-Berater/in;82223
Wellnessberater/in;82223
Wellnessmanager/in;82223
Wellnesstherapeut/in;82223
Ernährungsassistent/in;82232
Allergie-Ernährungsberater/in;82233
Berater/in - Gewichtsmanagement;82233
Diätberater/in;82233
Dipl.-Ernährungsberater/in (BA);82233
Ernährungs- und Fitnessberater/in (Gesundheit/Sport);82233
Ernährungsberater/in;82233
Ernährungstrainer/in;82233
Naturheilkundliche/r Ernährungsberater/in;82233
Gutachter/in - Pflege;82243
Pflegegutachter/in;82243
Pflegesachverständige/r;82243
Qualitätsbeauftragte/r - Gesundheits-/Sozialwesen;82243
Sachverständige/r - Pflege;82243
Bachelor of Science - Ökotrophologie;82283
Dipl.-Ing. (FH) - Ernährung und Versorgungsmanagement;82284
Dipl.-Ökotropholog(e/in) (FH/Uni) - Ernährungswissenschaften;82284
Dipl.-Ökotrophologe/-Ökotrophologin - Ernährungsökonomie;82284
Dipl.-Ökotrophologe/-Ökotrophologin (FH/Uni);82284
Dipl.-Ökotrophologe/-Ökotrophologin (FH/Uni) - Haushaltswiss;82284
Ernährungs- und Hauswirtschaftswissenschaftler/in;82284
Ernährungsingenieur/in;82284
Ernährungswissenschaftler/in;82284
Haushalts- und Ernährungswissenschaftler/in;82284
Haushaltswissenschaftler/in;82284
Ökotrophologe/Ökotrophologin;82284
Ökotrophologe/Ökotrophologin - Ernährungsökonomie;82284
Ökotrophologe/Ökotrophologin (Uni) - Bildungswesen/Schulung;82284
Friseurhelfer/in;82311
Helfer/in - Friseurgewerbe;82311
Shampooneur/Shampooneuse;82311
Coiffeur/Coiffeuse;82312
Damenfriseur/in;82312
Filmfriseur/in;82312
Friseur/in;82312
Friseur-Kosmetiker/in;82312
Frisurendemonstrator/in;82312
Frisurengestalter/in;82312
Haareinknüpfer/in;82312
Haarkünstler/in;82312
Haarpfleger/in;82312
Hairstylist/in;82312
Herrenfriseur/in;82312
Meisterassistent/in - Kosmetik im Friseurhandwerk;82312
Perückenmacher/in;82312
Theaterfriseur/in;82312
Toupetmacher/in;82312
Beauty-Fachkraft;82322
Beauty-Stylist/in;82322
Biokosmetiker/in;82322
Biosthetiker/in;82322
Fachkosmetiker/in;82322
Farb-, Stil- und Imageberater/in;82322
Fingernagelkosmetiker/in;82322
Fingernagelmodellist/in;82322
Fußpfleger/in (kosmetisch);82322
Handpfleger/in;82322
Kosmetiker/in;82322
Make-up-Stylist/in;82322
Nageldesigner/in;82322
Nagel-Kosmetiker/in;82322
Nagelmodellist/in;82322
Nagelstylist/in;82322
Schönheitspfleger/in;82322
Solariumfachberater/in;82322
Visagist/in;82322
Piercer/in;82332
Tätowierer/in;82332
Bühnencosmetologe/-cosmetologin;82342
Filmcosmetologe/-cosmetologin;82342
Maskenbildner/in;82342
Maskenbildner/in (Lehrgang);82342
Maskenbildner-Assistent/in;82342
Solomaskenbildner/in;82342
Dipl.-Designer/in (FH) - Maskenbild;82343
Maskenbildner/in (Hochschule);82343
Chefmaskenbildner/in;82393
Friseurmeister/in/B. Prof. Friseur-Handwerk;82393
Kosmetikermeister/in/B. Prof. Kosmetiker-Handwerk;82393
Meister/in - Friseurhandwerk;82393
Meister/in - Kosmetikhandwerk;82393
Bestattungsgehilfe/-gehilfin;82401
Sargträger/in;82401
Totengräber/in;82401
Bestattungsfachkraft;82402
Bestattungskaufmann/-frau;82402
Krematoriumsaufseher/in;82402
Leichenbestatter/in;82402
Leichenwärter/in;82402
Leichenwäscher/in;82402
Tierbestatter/in;82402
Bestatter/in (Lehrgang);82403
Bestattungsberater/in;82403
Bestattungsfachwirt/in;82403
Fachwirt/in - Bestattung;82403
Thanatopraktiker/in;82403
Bestattermeister/in;82493
Funeralmaster;82493
Meister/in - Bestattungswesen;82493
Bestattungsunternehmer/in;82494
Leiter/in - Bestattungsunternehmen;82494
Assistent/in - Medizintechnik;82502
Medizinelektroniker/in;82502
Medizingeräteelektroniker/in;82502
Röntgenapparatebauer/in;82502
Röntgenelektroniker/in;82502
Röntgenmechaniker/in;82502
Techn. Assistent/in - medizinische Gerätetechnik;82502
Biomedizintechniker/in;82503
Dipl.-Ing. (BA) - Medizintechnik;82503
Laboringenieur/in (FS);82503
Medizingerätetechniker/in;82503
Medizintechniker/in;82503
Röntgentechniker/in;82503
Techniker/in - Biomedizinische Technik;82503
Techniker/in - Medizintechnik/B. Prof. Technik;82503
Dipl.-Ing. (FH) - Biomedizinische Technik;82504
Dipl.-Ing. (FH) - Medizintechnik;82504
Gesundheitsingenieur/in;82504
Ingenieur/in - biomedizinische Technik;82504
Ingenieur/in - Medical Engineering;82504
Ingenieur/in - medizinische Laboratoriumstechnik;82504
Ingenieur/in - Medizintechnik;82504
Medizintechnikingenieur/in;82504
Sicherheitsbeauftragte/r - Medizinprodukte;82504
Zulassungsingenieur/in - Medizintechnik;82504
Bandagist/in;82512
Mechaniker/in - Orthopädietechnik;82512
Orthopädiemechaniker/in;82512
Orthopädiemechaniker/in u. Bandagist/in (Kleinorthopädie);82512
Orthopädiemechaniker/in und Bandagist/in;82512
Orthopädietechnik-Mechaniker/in;82512
Orthopädietechnik-Mechaniker/in - Individuelle Orthetik;82512
Orthopädietechnik-Mechaniker/in - Individuelle Rehatechnik;82512
Orthopädietechnik-Mechaniker/in - Prothetik;82512
Orthopädist/in - Orthetik;82512
Orthopädist/in - Prothetik;82512
Prothesenhersteller/in;82512
Rehabilitationsmittelmechaniker/in;82512
Orthopädietechniker/in;82513
Orthopädietechniker/in - Orthesentechnik;82513
Orthopädietechniker/in - Prothesentechnik;82513
Orthopädietechniker/in - Rehabilitationstechnik;82513
Rehabilitationsmitteltechniker/in;82513
Techniker/in - Orthopädietechnik;82513
Techniker/in - Rehabilitationstechnik;82513
Anaplastologe/Anaplastologin;82514
Dipl.-Ing. (FH) - Orthopädie- und Rehatechnik;82514
Dipl.-Ing. (FH) - Rehabilitationstechnik;82514
Ingenieur/in - Orthopädie- und Rehatechnik;82514
Orthopädie- und Rehatechnikingenieur/in;82514
Augenoptiker/in;82522
Augenoptikergehilfe/-gehilfin;82522
Facharbeiter/in - Augenoptik;82522
Fachoptiker/in;82522
Kontaktlinsenanpasser/in;82522
Optiker/in;82522
Augenoptiker/in (FS);82523
Augenoptiker/in (Weiterbildung);82523
Augenoptiktechniker/in;82523
Optiktechniker/in;82523
Optometrist/in;82523
Techniker/in - Augenoptik;82523
Dipl.-Ing. (FH) - Augenoptik;82524
Ingenieur/in - Augenoptik/Optometrie;82524
Optikingenieur/in;82524
Akustiker/in (Hörgeräte);82532
Hörakustiker/in;82532
Hörgeräteakustiker/in;82532
Hörgerätetechniker/in;82533
Techniker/in - Hörgerätetechnik;82533
Dipl.-Ing. (FH) - Hörtechnik u. Audiologie;82534
Ingenieur/in - Hörtechnik und Audiologie;82534
Dentaltechniker/in;82542
Zahnlaborant/in;82542
Zahntechniker/in;82542
Zahntechnische Hilfskraft;82542
Augenoptikermeister/in/B. Prof. Augenoptiker-Handwerk;82593
Bandagistenmeister/in;82593
Dentaltechnikermeister/in;82593
Hörakustikermeister/in/B. Prof. Hörakustiker-Handwerk;82593
Hörgerätemeister/in;82593
Industriemeister/in - Medizintechnik;82593
Meister/in - Bandagistenhandwerk;82593
Meister/in - Orthopädiemechaniker- und Bandagistenhandwerk;82593
Meister/in - Orthopädieschuhmacherhandwerk;82593
Orthopädiemechaniker- und Bandagistenmeister/in;82593
Orthopädiemechanikermeister/in;82593
Orthopädietechnikermeister/in/B. Prof. Orthopädietechn.Hw;82593
Zahntechnikermeister/in/B. Prof. Zahntechniker-Handwerk;82593
Laborleiter/in - Otoplastik;82594
Laborleiter/in - Zahnlabor;82594
Werkstattleiter/in (Orthopädie-Technik);82594
Zahntechnische/r Laborleiter/in;82594
Au-pair;83111
Kinderbetreuer/in;83111
Kinderfrau;83111
Kindergartenhelfer/in;83111
Kindermädchen;83111
Kinderpflegehelfer/in;83111
Kindertagesstättenhelfer/in;83111
Krippenhelfer/in;83111
Pflegehelfer/in - Kinderpflege;83111
Tagesmutter/-vater;83111
Assistent/in - Sozialpädagogik;83112
Facharbeiter/in - Kinderpflege;83112
Kindergartenassistent/in;83112
Kinderpfleger/in;83112
Krippenerzieher/in;83112
Sozialpädagogische/r Assistent/in;83112
Sozialpädagogische/r Assistent/in / Kinderpfleger/in;83112
Betreuer/in - Schulheim;83113
Elementarerzieher/in;83113
Erzieher/in;83113
Erzieher/in - Heimerziehung;83113
Erzieher/in - Jugend- und Heimerziehung;83113
Erzieher/in - Jugendheime;83113
Erzieher/in - Kinderdorf;83113
Erzieher/in - Kleinkinderziehung;83113
Fachkraft - Kindertageseinrichtungen;83113
Fachkraft - Sprachförderung;83113
Heimerzieher/in;83113
Horterzieher/in;83113
Integrationserzieher/in;83113
Internatsbetreuer/in;83113
Internatserzieher/in;83113
Jugenderzieher/in;83113
Kinderdorfmutter/-vater;83113
Kindererzieher/in;83113
Kindergärtner/in;83113
Kindergärtner/in (FS);83113
Pädagogische Fachkraft - Grundschulkindbetreuung;83113
Pädagogische/r Mitarbeiter/in - Kinderdorf;83113
Pflegemutter/-vater - Kinderdorf;83113
SOS-Kinderdorfmutter/-vater;83113
Vorschulerzieher/in;83113
Waldorferzieher/in;83113
Betreuungshelfer/in (Flüchtlingshilfe);83122
Genesungsbegleiter/in;83122
Peer Counselor/in;83122
Arbeitspädagoge/-pädagogin;83123
Dipl.-Sozialarbeiter/in (BA);83123
Dipl.-Sozialpädagoge/-pädagogin (BA);83123
Ehrenamtskoordinator/in;83123
Fachkraft - Sozialarbeit;83123
Freundschaftspionierleiter/in;83123
Fürsorger/in;83123
Gerontosoziale/r Betreuer/in;83123
Gruppenbetreuer/in (Jugendarbeit);83123
Gruppenleiter/in,Teamleiter/in - Sozialarbeit;83123
Jugendgruppenleiter/in;83123
Klubleiter/in;83123
Pfleger/in (Sozialpfleger/in);83123
Sozialfürsorger/in;83123
Sozialpfleger/in;83123
Sozialsekretär/in;83123
Arbeitslosenbetreuer/in;83124
Ausländerbeauftragte/r;83124
Berufseinstiegsbegleiter/in;83124
Bewährungshelfer/in;83124
Dipl.-Sozialarbeiter/in (FH);83124
Dipl.-Sozialpädagoge/-pädagogin;83124
Dipl.-Supervisor/in - Soziale Berufe;83124
Drogensozialarbeiter/in;83124
Erziehungsbeistand;83124
Gerichtshelfer/in;83124
Integrationsmanager/in;83124
Jugendhelfer/in;83124
Jugendleiter/in;83124
Jugendpädagoge/-pädagogin;83124
Jugendpfleger/in;83124
Jugendsozialarbeiter/in;83124
Pädagoge/Pädagogin - Jugendarbeit;83124
Pfleger/Pflegerin (Sozialarbeiter);83124
Psychosoziale/r Prozessbegleiter/in;83124
Rechtliche/r Betreuer/in;83124
Schulsozialarbeiter/in;83124
Sozialarbeiter/in;83124
Sozialarbeiter/in - Strafvollzug;83124
Sozialarbeiter/in / Sozialpädagoge/-pädagogin;83124
Sozialpädagoge/-pädagogin;83124
Sozialpädagogische/r Familienhelfer/in;83124
Stadtjugendpfleger/in;83124
Straßensozialarbeiter/in;83124
Streetworker/in;83124
Arbeitsassistent/in;83131
Assistent/in - Behindertenpflege;83131
Behindertenassistent/in;83131
Behindertenhelfer/in;83131
Behindertenhilfe;83131
Blindenhelfer/in;83131
Erziehungshelfer/in;83131
Freizeitassistent/in;83131
Heilerziehungshelfer/in;83131
Heilerziehungspflegeassistent/in;83131
Integrationshelfer/in;83131
Pflegehelfer/in - Behindertenpflege;83131
Pflegehelfer/in - Heilerziehung;83131
Reisehelfer/in für Menschen mit Behinderungen;83131
Schulbegleiter/in;83131
Behindertenpfleger/in;83132
Integrations-/Inklusionsfachkraft;83132
Arbeitserzieher/in;83133
Behindertenausbilder/in (Berufsbildungswerk);83133
Behindertensportlehrer/in;83133
Behindertensporttrainer/in;83133
Erzieher/in - Heilpädagogik;83133
Erzieher/in - Sonderpädagogik;83133
Erzieher/in - sonderpädagogische Einrichtungen;83133
Erzieher/in - verhaltensauffällige Kinder und Jugendliche;83133
Facherzieher/in - Integration;83133
Facherzieher/in - verhaltensauffällige Kinder/Jugendliche;83133
Fachkraft - Arbeits- und Berufsförderung;83133
Fachkraft - Arbeitsförderung;83133
Fachkraft - Berufsförderung;83133
Fachkraft - Blinden- und Sehbehindertenrehabilitation;83133
Gruppenleiter/in - Behindertenwerkstatt;83133
Gruppenleiter/in - Heilerziehungspflege;83133
Gruppenleiter/in - Heilpädagogik;83133
Gruppenleiter/in in Werkstätten - Behinderte;83133
Heilerzieher/in;83133
Heilerzieher/in - Rehabilitation;83133
Heilerziehungspfleger/in;83133
Heilerziehungspfleger/in - Psychiatrie;83133
Heilerziehungspfleger/in - Rehabilitation;83133
Heilpädagoge/-pädagogin - Motopädie;83133
Rehabilitationstrainer/in (Sport);83133
Rehafachkraft - Blinde,Sehgeschädigte;83133
Rehafachkraft - Blinde/Sehgeschädigte - Orientier./Mobilität;83133
Sonderpädagoge/-pädagogin (Fachschule);83133
Sportlehrer/in - Prävention/Rehabilitation;83133
Sportlehrer/in - Rehabilitation/Behindertensport;83133
Behindertenpädagoge/-pädagogin;83134
Dipl.-Heilpädagoge/-pädagogin (FH/Uni);83134
Dipl.-Rehabilitationspädagoge/-pädagogin (Uni);83134
Heilpädagoge/-pädagogin/B. Prof. Sozialw.;83134
Heilpädagogische/r Fachbetreuer/in;83134
Orientierungs- und Mobilitätsausbilder/in;83134
Pädagogisch-therapeutische/r Konduktor/in;83134
Rehabilitationslehrer/in - Blinde und Sehbehinderte;83134
Rehabilitationspädagoge/-pädagogin;83134
Betreuer/in;83141
Betreuungskraft / Alltagsbegleiter/in;83141
Fachkraft - Betreuung;83141
Familienpflegehelfer/in;83141
Haus- und Familienpflegehelfer/in;83141
Pflegehelfer/in - Privathaushalt;83141
Senioren-Assistent/in;83141
Alltagsbetreuer/in;83142
Assistent/in - Sozialpflege;83142
Fachkraft - Pflegeassistenz;83142
Sozialassistent/in;83142
Sozialbetreuer/in;83142
Sozialhelfer/in;83142
Sozialpflegeassistent/in;83142
Berufsspezialist/in - Haushaltsführ./Familienbetr. (Dorfh.);83143
Dorfhelfer/in;83143
Dorfhelfer/in in einer Sozialstation;83143
Familienhelfer/in;83143
Familienpfleger/in;83143
Gemeindeschwester/pfleger - Haus-, Familienpflege;83143
Haus- und Familienpfleger/in;83143
Hauspfleger/in;83143
Aids-Berater/in;83154
Ausländerberater/in;83154
Drogenberater/in;83154
Eheberater/in;83154
Erziehungsberater/in;83154
EUTB-Berater/in;83154
Fachberater/in - Altenhilfe;83154
Fachkraft - Sozialberatung;83154
Familienberater/in;83154
Jugendberater/in;83154
Jugendreferent/in;83154
Konfliktberater/in;83154
Konfliktmanager/in;83154
Krisenberater/in;83154
Lebensberater/in;83154
Mediator/in;83154
Schuldnerberater/in;83154
Schwangerschaftsberater/in;83154
Schwangerschaftskonfliktberater/in;83154
Sozialberater/in;83154
Sozialberater/in - ausländische Arbeitnehmer (Migrationsber);83154
Sozialtherapeut/in;83154
Sozialtherapeut/in - Beratung/Sucht;83154
Sucht-, Drogenberater/in;83154
Suchtberater/in;83154
Ausbildungsmeister/in - Werkstätten für Behinderte;83193
Ausbildungsmeister/in in Behinderteneinrichtungen;83193
Erziehungsfachwirt/in;83193
Fachwirt/in - Erziehungswesen;83193
Hortleiter/in;83193
Kindergartenleiter/in;83193
Kindertagesstättenleiter/in;83193
Behindertenheimleiter/in;83194
Einrichtungsleiter/in - Sozialwesen;83194
Erwachsenenheimleiter/in;83194
Erziehungsleiter/in;83194
Hausvater/-mutter;83194
Heimleiter/in;83194
Kinderdorfleiter/in;83194
Kinderheimleiter/in;83194
Leiter/in - ambulante Sozialdienste;83194
Leiter/in - Behinderteneinrichtung;83194
Leiter/in - Schullandheim;83194
Leiter/in - soziale Einrichtung;83194
Leiter/in - vorschulpädagogische Einrichtung;83194
Leiter/in - Werkstätten für Menschen mit Behinderungen;83194
Obdachlosenheimleiter/in;83194
Schullandheimleiter/in;83194
Tagesstättenleiter/in;83194
Werkstattleiter/in - Werkstätten für Behinderte;83194
Haushaltshilfe;83211
Hauswirtschaftshelfer/in - städtischer Bereich;83211
Hauswirtschaftstechnische/r Helfer/in;83211
Helfer/in - Hauswirtschaft;83211
Assistent/in - Ernährung und Versorgung;83212
Beschließer/in;83212
Butler;83212
Diener/in;83212
Etagenaufsicht;83212
Fachkraft - Haushalt;83212
Fachkraft-Haushaltsführung, ambul. Betreuung (staatl. gepr.);83212
Hausangestellte/r;83212
Hausdiener/in;83212
Haushälter/in (Privathaushalt);83212
Haushaltsfachkraft;83212
Hausmädchen;83212
Hauswirtschafter/in;83212
Hauswirtschafter/in - Ländlich-agrarische Dienstleistungen;83212
Hauswirtschafter/in - ländliche Hauswirtschaft;83212
Hauswirtschafter/in - ländlicher Bereich;83212
Hauswirtschafter/in - Personenbetreuende Dienstleistungen;83212
Hauswirtschafter/in - Serviceorientierte Dienstleistungen;83212
Hauswirtschafter/in - Städtische Hauswirtschaft;83212
Hauswirtschafter/in - städtischer Bereich;83212
Hauswirtschafter/in (ohne Schwerpunkte);83212
Hauswirtschaftliche/r Assistent/in;83212
Hauswirtschaftlich-technische/r Assistent/in;83212
Hauswirtschaftsgehilfe/-gehilfin;83212
Hauswirtschaftshelfer/in (§66 BBiG/§42m HWO);83212
Wirtschafter/in - Hauswirtschafter/in;83212
Wirtschaftspfleger/in;83212
Betriebswirt/in (Fachschule) - Hauswirtschaft;83213
Betriebswirt/in (staatl. gepr.) - Großhaushalt;83213
Dipl.-Haushaltsökonom/in;83213
Fachhauswirtschafter/in;83213
Fachkraft - landwirtschaftlicher Haushalt;83213
Fachwirt/in - Organisation u. Führung (Ernährung u. Hausw.);83213
Haushaltsökonom/in;83213
Hauswirtschaftstechniker/in;83213
Techniker/in - Ernähr.- u. Versorg.manag./B. Prof. Technik;83213
Techniker/in - Hauswirtschaft und Ernährung;83213
Techniker/in - Hauswirtschaft/Ernährung (Ländl.Gästebeherb.);83213
Wirtschafter/in - Hauswirtschaft/B. Prof. Agrarwirtsch.;83213
Wirtschafter/in - ländliche Hauswirtschaft (staatl. gepr.);83213
Wirtschafter/in - städtische Hauswirtschaft (staatl. gepr.);83213
Haushaltsberater/in;83223
Hauswirtschaftliche/r Berater/in;83223
Tarifberater/in (Gas-, Stromtarif);83223
Verbraucherberater/in;83223
Betriebsleiter/in - ländliche Hauswirtschaft;83293
Hauswirtschaftliche/r Betriebsleiter/in/B. Prof. Wirtsch.;83293
Hauswirtschaftsleiter/in;83293
Hauswirtschaftsmeister/in;83293
Hauswirtschaftsverwalter/in;83293
Meister/in - Hauswirtschaft;83293
Meister/in - Ländliche Hauswirtschaft;83293
Meister/in - Städtische Hauswirtschaft;83293
Wirtschaftsleiter/in - Hauswirtschaft;83293
Wirtschaftsleiter/in - Krankenhäuser/Alten-/Pflegeheime;83293
Wirtschaftsleiter/in - Wohn-/Kinder-/Erholungsheime u.ä.);83293
Dorfpfarrer/in;83314
Evangelisch(e/r) Theologe/Theologin (Uni);83314
Evangelische/r Pastor/in;83314
Evangelische/r Pfarrer/in;83314
Evangelische/r Seelsorger/in;83314
Gemeindepfarrer/in;83314
Imam;83314
Islamische/r Theologe/Theologin;83314
Jüdischer Geistlicher;83314
Kaplan;83314
Katholische/r Seelsorger/in;83314
Katholischer Pfarrer;83314
Katholischer Priester;83314
Katholischer Theologe/Katholische Theologin;83314
Orthodoxe/r Pastor/in;83314
Orthodoxe/r Theologe/Theologin (Uni);83314
Pastor/in - Freikirchen;83314
Pastor/in (evangelisch);83314
Pastor/in (orthodox);83314
Pastoralreferent/in;83314
Pfarrer/in (evangelisch);83314
Priester/in;83314
Rabbiner/in;83314
Russisch-orthodoxer Pastor;83314
Seelsorger/in;83314
Stadtpfarrer/in;83314
Theologe/Theologin - evangelisch;83314
Theologe/Theologin - Freikirchen;83314
Theologe/Theologin - islamisch;83314
Theologe/Theologin - jüdisch;83314
Theologe/Theologin - katholisch;83314
Theologe/Theologin - orthodox;83314
Vikar/in;83314
Vorbeter/in;83314
Diakonische/r Helfer/in;83322
Gemeindeassistent/in (katholisch);83322
Gemeindehelfer/in;83322
Gemeindehelfer/in/Gemeindediakon/in;83322
Pfarrhelfer/in;83322
Seelsorgehelfer/in;83322
Diakon (katholisch);83323
Diakon/in (evangelisch);83323
Diakon/in (Sozialarbeit);83323
Diakonisse;83323
Diakonisse (Sozialarbeit);83323
Evangelische/r Diakon/in;83323
Fürsorger/in im kirchlichen Dienst;83323
Gemeindediakon/in;83323
Gemeindereferent/in - katholisch;83323
Katholische/r Diakon/in;83323
Katholische/r Gemeindereferent/in;83323
Angehörige/r geistlicher Orden u. Mutterhäuser;83332
Frater;83332
Mater;83332
Missionsanwärter/in;83332
Missionshelfer/in;83332
Mönch;83332
